idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
2217,1355250,2019,6541000,2600000,,8692000,8692000,,6541000,-1464000,,-85915000,,,,,,,4484000,,3805000,-4484000,51000,,,-4534000,,,,,144510021,,-3689000,-22000,2503000,-1717000,,,,,,,,,,3185000,,,2000,,,,,,,,,,,,,,
2218,1355250,2020,4046000,625000,,8175000,7296000,,4046000,-2151000,21000,-94596000,,,0,,,,1999000,,1357000,-1999000,-51000,,0,-2050000,,,,,,,-2099000,-19000,2293000,-2118000,4141000,,,,,,,,,2127000,,,1000,,,,,,,,,,,,,,
2219,1355250,2021,9248000,6110000,,7786000,7369000,,9248000,-4129000,,-101244000,,,400000,,,,1341000,,803000,-3211000,20000,,0,-1550000,,,,,205666583,,-620000,-21000,972000,331000,579000,,3000000,,,,,,,2043000,,,,,,,,,,,,,,,,,
2220,1355250,2022,14299000,10689000,,6790000,6538000,,14299000,1462000,,-115116000,,,400000,,,,1129000,,524000,-1129000,2672000,,0,-1173000,,,,,,,-1521000,-3000,2758000,1234000,6018000,,,,,,,,,2563000,,,,,,,,,,,,,,,,,
2221,1355250,2023,10379000,3952000,,5649000,4808000,,10379000,7509000,,-122157000,,,0,,,,2023000,,1591000,-2023000,,,0,-2056000,,,,,,,-1954000,-17000,2983000,,3807000,,,,,,,,,2567000,,,,,,,,,,,,,,,,,
2222,1355250,2024,7517000,1634000,,5478000,5021000,,7517000,4730000,,-125325000,,,0,,,,1382000,,869000,-1413000,,,0,-1428000,,,,,,,-791000,-4000,-44000,,1518000,,,,,,,,,2985000,,,,,,,,,,,,,,,,,
2234,788920,2014,10595000,7347000,,2658000,2314000,344000,10595000,7937000,17012000,-9080000,,,,3461000,,1236000,1288000,,406000,-52000,6000,,1000,-17000,,,-0.01,-0.01,3279578,3279578,-172000,-41000,-774000,-987000,4112000,,228000,,,,,3834000,1339000,844000,,17000,2065000,,,,,,,,,,,,,,
2235,788920,2015,11708000,8893000,,2492000,2127000,365000,11708000,7937000,18582000,-9568000,,,,5194000,,1494000,1849000,,740000,-355000,4000,,-35000,-126000,,,,,3344,3344,-640000,516000,-2000,-126000,1680000,,228000,,,,,2600000,1776000,744000,353000,105000,1575000,,,,,,,,,,,,,,
2236,788920,2016,12516000,8408000,,4038000,3694000,344000,12516000,9216000,18411000,-9933000,,,13383000,2595000,,828000,1017000,,384000,-189000,2000,,9000,-170000,,,-0.09,-0.09,4190,4190,,,,421000,3188000,,,,,,,4310000,2326000,1867000,353000,547000,1470000,,,,,,,,,,,,,,
2237,788920,2017,11147000,9218000,,2270000,2156000,114000,11147000,8478000,17988000,-9111000,,,,4097000,,1058000,1177000,,429000,-119000,6000,,1000,-125000,,,0.06,-0.03,4140751,4140751,466000,1588000,-457000,-204000,697000,21000,48000,,,,,3573000,1469000,841000,353000,451000,1286000,,,,,,,,,,,,,,
2238,788920,2018,16351000,11921000,,2641000,2580000,61000,16351000,8877000,17704000,-4027000,,,16346000,5129000,,1424000,1130000,,304000,294000,3000,,7000,286000,,,0.07,0.07,4062475,4103459,255000,-326000,-55000,-126000,2294000,316000,48000,,,,,3085000,3538000,1159000,353000,320000,1429000,,,,,,,,,,,,,,
2239,788920,2019,19917000,16233000,,2641000,2538000,103000,19917000,13710000,19835000,-2406000,,,5162000,,,1860000,986000,,407000,874000,2000,,262000,628000,,,0.15,0.15,4150099,4189724,1061000,-1582000,2171000,1650000,4205000,139000,2169000,,,,,4393000,2955000,1083000,,140000,1755000,,,,,,,,,,,,,,
2240,788920,2020,25520000,21783000,3300000,8512000,4270000,4242000,25520000,17276000,15815000,1742000,,,6916000,,,2727000,999000,,408000,1728000,20000,,433000,1349000,,,0.31,0.31,4330636,4372893,636000,-1293000,3784000,3127000,5188000,477000,,,,,,6239000,4100000,1996000,,129000,2726000,,,,,,,,,,,,,,
2241,788920,2021,31126000,22674000,3300000,3300000,5227000,6837000,31126000,17008000,12752000,7896000,,,7240000,,,2780000,1289000,,484000,1491000,59000,,363000,1104000,,,0.28,0.27,4008017,4110414,908000,-1323000,-825000,,7742000,61000,,,,,,8238000,5155000,1965000,,162000,2686000,,,,,,,,,,,,,,
2242,788920,2022,40320000,25013000,,20236000,5872000,14364000,40320000,19062000,7953000,12131000,,,8590000,,,3475000,1926000,,1091000,1549000,54000,,412000,1158000,,2908000,0.3,0.29,3850838,3975063,-888000,25000,-356000,,6421000,6500,,,,,,8437000,10933000,2288000,,186000,3845000,,,,,,,,,,,,,,
2243,788920,2023,31451000,31166000,,23658000,11354000,12304000,31451000,19062000,7682000,8122000,,,38029000,,,13575000,9050000,,4384000,4525000,352000,,267000,1115000,,1988000,0.29,0.28,3851000000,3975000000,-2078000,-3710000,3088000,,849000,6500000,,,,,,12678000,15384000,3761000,,118000,4833000,,,,,,,,,,,,,,
2244,788920,2024,51823000,30979000,,20233000,9676000,10557000,51823000,0,6767000,24823000,,,11087000,,,2956000,2006000,,929000,950000,130000,,266000,1203000,,1203000,0.33,0.33,3616392,3694959,2892000,-90000,-853000,,2936000,178000,,,,,,16167000,9952000,2261000,,81000,5079000,,,,,,,,,,,,,,
2259,1441683,2017,102738000,88384000,,110815000,76019000,,102738000,-42844000,3000,-64825000,,,111204000,,,62723000,67565000,,16750000,-4842000,,,378000,-6987000,,-7848000,,,,,-2145000,-524000,10000000,6401000,24992000,524000,,,,,763000,,46814000,5057000,,,3101000,13889000,,,,,,,,,,,,,
2260,1441683,2018,161052000,145222000,,115528000,95115000,,161052000,-50533000,,-96189000,,,132923000,,,82800000,94170000,,22994000,-11370000,,,-1683000,-12461000,,-13318000,,,,,-7756000,-984000,10000000,-250000,31393000,984000,0,,,,764000,,55315000,5226000,,,2663000,,,,,,,,,,,,,,
2261,1441683,2019,233180000,209626000,,159988000,128401000,,233180000,-63492000,,-145640000,,,,,,112140000,143951000,,34835000,-31811000,,,761000,-31007000,,-31364000,,,,,-9128000,-433000,50948000,,94930000,433000,0,,,,886000,,79383000,9249000,,,7539000,,,,,,,,,,,,,,
2262,1441683,2020,371485000,277661000,,166248000,112280000,,371485000,45524000,,-135413000,,,,,,141818000,188537000,,44724000,-46719000,,,239000,-49451000,,,,,,,-31321000,-7010000,60962000,,159755000,7014000,,,,,2021000,,70408000,5222000,0,0,39554000,,,,,,,,,,,,,,
2263,1441683,2021,512521000,365420000,,215916000,155888000,,512521000,73192000,,-168890000,,,,,,166511000,216979000,,58043000,-50468000,,,820000,-50714000,,,-0.77,-0.77,65479327,65479327,-8926000,-32421000,105549000,,159755000,32421000,,,,,4742000,,97278000,2967000,0,1744000,,,,,,,,,,,,,,,
2264,1441683,2022,504519000,338264000,,270602000,215721000,,504519000,205237000,,-257531000,,,,,,215807000,253709000,,70241000,-37902000,,,883000,-33477000,,,-0.48,-0.48,69050565,69050565,-7620000,-153357000,110468000,,112462000,1251000,,,0,0,5851000,,130049000,5766000,4862000,7144000,,0,,,,,,,,,,,,,
2265,1441683,2023,594214000,422497000,,448514000,270252000,,594214000,296605000,,-408451000,,,,,,265166000,349073000,,97517000,-83907000,,,778000,-88641000,,,-1.25,-1.25,71036490,71036490,-53918000,41936000,2786000,,100796000,6058000,,,0,0,5743000,,130000000,7997000,27795000,5251000,,115379000,,,,,,,,,,,,,
2266,1441683,2024,627503000,414355000,,575162000,371172000,,627503000,233917000,,-519892000,,,,,,334685000,479695000,,139210000,-145010000,,,692000,-150920000,,,-2.08,-2.08,72455175,72455175,-106551000,10264000,142867000,,148132000,9095000,,,625000,120000000,7297000,,171561000,6174000,26349000,3889000,,140221000,,,,,,,,,,,,,
2267,80172,2014,353912000,264073000,,,54230000,,393540000,336290000,7441000,336895000,,,,472490000,,94863000,,34095000,,59719000,,,21549000,38875000,,,,,,,,,,-36558000,73995000,13584000,,,,,,92514000,84322000,38323000,11485000,24698000,89589000,,,,,,,,,,,,,,
2268,80172,2015,386781000,256869000,,,48628000,,378359000,290571000,7441000,328417000,,,,420188000,,79352000,,21231000,,57614000,,,17093000,41252000,,,,,,,,,,-14484000,37437000,36256000,,,,,,89058000,68752000,32948000,11485000,10644000,95543000,,,,,,,,,,,,,,
2269,80172,2016,374071000,261592000,,,48130000,,387384000,332551000,7441000,340799000,,,,347198000,,81306000,,21422000,,45830000,,,15445000,26477000,,,,,,,,,,31090000,22953000,11287000,,,,,,98622000,67528000,32536000,11485000,5471000,91306000,,,,,,,,,,,,,,
2270,80172,2017,387384000,340495000,,,64354000,,417594000,325443000,7441000,350203000,,,,355649000,,89433000,,21735000,,62525000,,,20760000,40496000,,,,,,,46275000,-16300000,-27796000,2179000,54043000,6461000,,,,,,95403000,67285000,39584000,11485000,4961000,49475000,,,,,,,,,,,,,,
2271,80172,2018,417594000,338508000,,,45497000,,411873000,339254000,7441000,364757000,,,341905000,,,85662000,,22429000,,62512000,,,21407000,44564000,,,,,,,66376000,-60846000,-34718000,,11222000,6950000,,,,,,104439000,65220000,28445000,11485000,3330000,45168000,,,,,,,,,,,,,,
2272,80172,2019,411873000,352262000,,47495000,47495000,,413618000,350236000,7441000,362709000,,,333633000,,,87234000,,22900000,,61704000,,,21971000,52959000,,,,,,,24278000,-2090000,-38000000,,56847000,7396000,,,,,,93988000,52372000,34100000,11485000,1000000,39143000,,,,,,,,,,,,,,
2273,80172,2020,413618000,337833000,,42296000,39295000,,410253000,366376000,7441000,362842000,,,323317000,,,75883000,,23286000,,47902000,,,12450000,39940000,,,,,,,76248000,10844000,-41467000,,79579000,8686000,,,,,,128536000,41464000,21652000,15317000,3059000,37278000,,,,,,,,,,,,,,
2274,80172,2021,410253000,357240000,,58822000,55092000,,433170000,366123000,7441000,367627000,,,308510000,,,71925000,,25462000,,46380000,,,11766000,42220000,,,,,,,9583000,55160000,-42011000,,86036000,3138000,,,,,,135488000,53667000,33474000,15317000,2838000,37113000,,,,,,,,,,,,,,
2275,80172,2022,433170000,348053000,,62775000,53159000,,420398000,367957000,7441000,349198000,,,352627000,,,84922000,,28505000,,56196000,,,13030000,46958000,,,6.67,,7038000,,40973000,7155000,-41671000,,109805000,2621000,,,,,,143861000,53377000,32759000,15317000,2624000,36723000,,,,,,,,,,,,,,
2276,80172,2023,420398000,326632000,,63795000,53641000,,411847000,374348000,7441000,338071000,,,355777000,,,64396000,,34153000,,30029000,,,6805000,25654000,,,3.63,,7060,,34688000,32548000,-43467000,,70711000,2866000,,,,,,152137000,71024000,34604000,18573000,6926000,41791000,,,,,,,,,,,,,,
2277,80172,2024,395879000,360110000,,84280000,72019000,,440536000,357623000,7441000,344245000,,,321623000,,,18020000,,27121000,,22127000,,,5245000,20699000,,,2.92,,7081,,8768000,-16436000,-31426000,,87657000,1030000,,,,,,190420000,48727000,38232000,19433000,5290000,39236000,,,,,,,,,,,,,,
2288,1679628,2024,148592,28739,,5949946,5771905,,148592,-7144084,2652,-23582504,,,,,,,3335129,,710063,-3335129,,,,-1747250,,,-0.16,-0.16,26396183,26396183,-319816,,315000,,,,55000,,,,,,,,,,,,,,,,,,,,,,,,
2294,1693577,2019,1100613000,,,979362000,,,1100613000,68797000,32176000,15186000,,,,,,,,118000,,,1982000,,385000,1686000,,,0.29,0.29,,,2943000,-47151000,33628000,,58076000,812000,44985000,,,,,,,,,,14222000,,,,,,,,,,,,,,
2295,1693577,2020,1277358000,,,1140324000,,,1277358000,121251000,32397000,29097000,,,,,,,,167000,,,4469000,,694000,3247000,,13950000,0.39,0.39,,,4521000,-39512000,36690000,,,280000,53000,,,,,,,,,,14153000,,,,,,,,,,,,,,
2296,1693577,2021,1643165000,,,1475500000,,,1643165000,137034000,29130000,44179000,,,,,,,,164000,,,4816000,,751000,3470000,,3470000,0.42,0.42,,,5548000,-38215000,40598000,,,758000,,,,,,,,,,,14289000,,,,,,,,,,,,,,
2297,1693577,2022,1647402000,,,1458614000,,,1647402000,167665000,29466000,64194000,,,,,,,,150000,,,2862000,,1342000,5450000,,4911000,0.65,0.65,7535061,,12689000,-49577000,99357000,,,9000,,,,,,,,,,,14863000,,,,,,,,,,,,,,
2298,1693577,2023,1925751000,,,1727469000,,,1925751000,188788000,28736000,86830000,,,,,,,,210000,,,2151000,,1173000,5423000,,4884000,0.64,0.64,7647519,,7313000,-228736000,103414000,,,296000,,,,,,,,,,,14709000,,,,,,,,,,,,,,
2299,1693577,2024,1878197000,,,1813915000,,,2035432000,188788000,29198000,106549000,,,88679000,,,75310000,,872000,,,7554000,,6714000,26674000,,24518000,3.26,3.26,7529382,,33544000,-228736000,232593000,,,1125000,,,,,,,,,,,13944000,,,,,,,,,,,,,,
2300,1509991,2014,2345826000,734961000,,,219324000,1134167000,2345826000,1020726000,3920000,-774220000,,,671101000,,,,,,,,8991000,,101184000,-67028000,,-67028000,-0.18,-0.18,371847000,371847000,,,,,673092000,,,,,,,47424000,281000,94172000,,,1522962000,900000000,,,,,,,,,,,,,
2301,1509991,2015,2972766000,1010476000,,,448771000,1185036000,2972766000,1028906000,3924000,-494850000,,,852153000,,,,,,,,,,166998000,-91044000,,-91044000,-0.24,-0.24,376819000,376819000,,,,,515164000,,,,,,,55354000,61731000,184400000,,,1784846000,794269000,,,,,,,,,,,,,
2302,1509991,2016,3203050000,734148000,,,456741000,1420796000,3203050000,992335000,3939000,-564686000,,,882738000,,,,,,,,,,298898000,279370000,,276084000,0.73,0.72,379195000,386119000,,,,,554831000,,,,,,,85173000,35950000,295689000,,,2322839000,860878000,,,,,,,,,,,,,
2303,1509991,2017,3341465000,475187000,,,370025000,1890241000,3341465000,1338959000,3959000,-850410000,,,471556000,,,,,,,,,,155272000,-69836000,,-69836000,-0.18,-0.18,382610000,382610000,440779000,-796433000,79634000,,275004000,,,,,,,74380000,54195000,220627000,,,2708892000,1321874000,,,,,,,,,,,,,
2304,1509991,2018,3341465000,533602000,,,428730000,1866761000,3192603000,1325513000,3986000,-1073202000,,,310377000,,,,,,,,,,-10784000,-283780000,,-28841000,-0.74,-0.74,385402000,385402000,52077000,-537763000,448019000,,194057000,644510000,,,,,,71861000,0,141787000,,,2708892000,1282797000,,,,,,,,,,,,,
2305,1509991,2019,3192603000,509700000,,,384308000,2762403000,4088189000,1081199000,4429000,-1167193000,,,578139000,,,,,,,,,,44937000,-222792000,,,-0.57,-0.57,388375000,388375000,236617000,-152565000,-52261000,,233412000,57432000,,0,,,,84827000,48164000,176540000,,,2317828000,2120547000,,,,,,,,,,,,,
2306,1509991,2020,4088189000,566557000,,,539101000,2936429000,4317232000,897112000,4458000,-1222970000,,,886666000,,,,,,,,,,43131000,-93991000,,,-0.23,-0.23,404585000,404585000,260491000,-985138000,605277000,,173515000,385434000,,,,,,114412000,64142000,149483000,,,3459701000,2008063000,,,,,,,,,,,,,
2307,1509991,2021,4317232000,400291000,,,460199000,2967240000,3867593000,941478000,4497000,-1634556000,,,1499416000,,,,,,,,,,80894000,-55777000,,,-0.14,-0.14,401368000,401368000,628150000,-363931000,-220489000,,224502000,440736000,0,,,,,128972000,44491000,221430000,,,3642332000,2103931000,,,,,,,,,,,,,
2308,1509991,2022,3867593000,541952000,,,530952000,3880462000,4940651000,841702000,4962000,-1712392000,,,804033000,,,,,,,,,,-5209000,-411586000,,,-1.02,-1.02,405212000,405212000,196145000,-345587000,69860000,,149027000,273979000,0,,350000000,,,165247000,134004000,184403000,,,3320913000,2590495000,,,,,,,,,,,,,
2309,1509991,2023,4940651000,468721000,,,574254000,3217886000,4579988000,440154000,5002000,-1485841000,,,1332013000,,,,,,,,,,34456000,-77836000,,,-0.19,-0.19,416943000,416943000,374344000,-973377000,624165000,,131620000,,136006000,,107500000,,,133515000,67483000,212275000,,,4183987000,2195911000,,,,,,,,,,,,,
2310,1509991,2024,4579988000,422713000,,,554830000,3350967000,4938134000,529237000,5044000,-1272321000,,,2245355000,,,,,,,,,,110516000,226551000,,,0.5,0.48,455346000,474857000,1130476000,-703855000,-414696000,,183405000,,,,,,,152054000,,248912000,,,3842647000,2390914000,,,,,,,,,,,,,
2311,48287,2014,1077066000,433228000,,,411584000,,1134705000,436328000,44982000,373652000,,89000,,2004003000,,689227000,,599656000,26900000,87627000,10865000,,29278000,48967000,,,1.08,0.59,45211385,45819979,144777000,-85813000,-89994000,-31030000,72812000,1600000,6396000,43041000,,,,89516000,228715000,,288348000,,267401000,150091000,,,,,,,,,,,,,
2312,48287,2015,1134705000,455559000,,,457333000,,1239334000,414587000,44166000,374929000,,-86000,,2059964000,,715292000,,606512000,27300000,105987000,9906000,,33338000,63683000,,,1.41,1.01,45250665,45956280,165002000,-75419000,-66335000,23248000,41782000,,9591000,43494000,,,,121791000,240053000,,286655000,,311008000,197736000,,,,,,,,,,,,,
2313,48287,2016,1239334000,438370000,,,435900000,,1263925000,476954000,44158000,433575000,,345000,,2222695000,,784200000,,649055000,29700000,112849000,8336000,,43776000,61471000,,,1.37,1.35,44759716,45578872,167796000,-154210000,-44472000,-30886000,65030000,74323000,18469000,44328000,,,,125228000,243409000,,279310000,,341159000,185000000,,,,,,,,,,,,,
2314,48287,2017,1263925000,433041000,,,463473000,,1330234000,500603000,44079000,461524000,,406000,,2304419000,,847398000,,672125000,31103000,163676000,6901000,,51764000,105436000,,,2.38,2.32,44285298,45440653,173352000,-112875000,-66073000,-5596000,34144000,82610000,12276000,46329000,,,,118438000,229436000,,277650000,,356445000,180000000,,,,,,,,,,,,,
2315,48287,2018,1330234000,488880000,,,489703000,,1391550000,514068000,43354000,467296000,,509000,,477667000,,835013000,,667744000,28089000,133692000,5086000,,43273000,85577000,,,1.93,1.88,44413941,45502219,223362000,-153026000,-62572000,7764000,28548000,,21596000,48495000,,,,155683000,258551000,,290699000,,390321000,240000000,,,,,,,,,,,,,
2316,48287,2019,1391550000,531883000,,,434308000,,1401844000,562933000,43582000,504909000,,326000,,,,783988000,,671831000,31846000,76690000,6078000,,-19286000,89795000,,,2.05,2,43839000,44840000,133149000,-118024000,-28089000,,76819000,,14224000,49557000,,,,157178000,255207000,,279505000,,384933000,249355000,,,,,,,,,,,,,
2317,48287,2020,1401844000,528834000,,,478705000,,1452512000,584044000,42595000,529723000,,324000,,,,835038000,,691140000,33420000,128173000,9448000,,25399000,93377000,,,2.14,2.11,43639000,44328000,186430000,-41220000,-91739000,,52073000,,19606000,51085000,,,,163465000,278124000,,270788000,,381507000,174439000,,,,,,,,,,,,,
2318,48287,2021,1452512000,495735000,,827287000,439028000,,1418032000,590419000,42919000,517994000,,326000,,,,833762000,,680049000,34699000,151342000,8628000,,32211000,110505000,,,2.56,2.54,43101000,43495000,219380000,-62895000,-181231000,,116120000,,30473000,52232000,,,,137811000,207971000,,270820000,,365957000,174524000,,,,,,,,,,,,,
2319,48287,2022,1418000000,523494000,,907930000,506448000,,1497897000,589644000,42600000,514600000,,323000,,,,721100000,,620900000,35300000,61400000,,,12500000,41900000,,,0.98,0.98,42700000,43000000,214500000,-100400000,-50100000,,52270000,,8100000,52100000,,,,181591000,240000000,,292400000,,366780000,174608000,,,,,,,,,,,,,
2320,48287,2023,1497900000,469200000,,797700000,395100000,,1414500000,616500000,41400000,534000000,,300000,,,,757400000,,665600000,39400000,85400000,,,18500000,59800000,,,1.38,1.36,43400000,44000000,131600000,-111000000,-84500000,,17400000,,31100000,53800000,,,,180100000,218400000,,297300000,,352500000,188800000,,,,,,,,,,,,,
2321,48287,2024,1414500000,535900000,,1167000000,463700000,,1928800000,761400000,46900000,523600000,,300000,,,,834900000,,723400000,47800000,155200000,,,22500000,123900000,,,2.97,2.94,41700000,42200000,81200000,-10700000,-105400000,,28900000,,4700000,53200000,,,,196600000,,,305900000,,555200000,428300000,,,,,,,,,,,,,
2322,797542,2014,0,0,,278779,278779,,0,-278779,169,-400194,,,0,,,,41200,,,,2550,,,-14500,,,-0.12,,1695126,,-4450,0,4450,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2323,797542,2015,1000,1000,,186159,163784,,1000,-185159,455,-574064,,,0,,,,14250,,0,,-2371,,,-10121,,,-0.01,,1695126,,-2500,0,2500,0,1000,,,,,,,,,,,,1390,,,,,,,,,,,,,,
2324,797542,2016,162366,141246,,288775,288775,,162366,-96117,1533,-8861316,,,0,,,,-178725,,0,-8043489,-7483,,,-180322,,,,,,,-831993,-6956,131798,101038,14411,26224,380000,,,,,,,,,,21120,,,,,,,,,,,,,,
2325,797542,2017,57570,13842,,958197,958197,,130763,-827434,1994,-14058814,,,0,,,,1902868,,103348,-1902868,,,,-1900230,,-47691,,,,,-173002,0,157250,159113,115449,474,47600,,34547,,,,,,,,31803,,,,,,,,,,,,,,
2326,797542,2018,29530,15181,,1618106,1011941,,29530,-1236899,2255,-16620419,,,,,,,68650,,54011,-68650,,,,-557887,,47691,,,,,-352474,-4955,526213,-3901,4486,3771,526213,,,,,,,,,,14290,,,,,,,,,,,,,,
2327,797542,2019,558677,558677,,975153,975153,,558677,-1588576,11075,-41626905,,,,,,128000,1428294,,54011,-1428294,,,15000,-20802376,,,,,,,-345549,14607,1792285,,499919,2000,1575072,,,,,,,,,,5000,,,,,,,,,,,,,,
2328,797542,2020,230000,225000,5000,,1923000,,230000,-721000,3000,-14711000,,,,,,32000,1210000,,36000,205000,,,20000,249000,,,,,,,-36000,-1000,174000,,87000,2000,49000,,,,,,10000,,,,5000,,50000,,,,,,,,,,,,
2329,797542,2021,225000,225000,,,2303000,,225000,-1693000,3000,-15154000,,,,,,33000,545000,,59000,200000,,,2000,174000,,,,,,,10000,13000,99000,,148000,,49000,,,,,,15000,,,,,,50000,,,,,,,,,,,,
2330,797542,2022,156000,156000,22016000,,2436000,5975000,156000,-2078000,3000,-15540000,,4806000,,,,8000,,,16000,-73000,,,1000,-80000,,,0.002,,34753669,15044630000,-14000,-509000,-1925000,,74000,298000,,73000,,,1941000,,8000,16676000,12483000,8414000,334000,4270000,50000,,,,,,,,,,,,
2331,797542,2023,63695000,29841000,33854000,,28522000,5274000,63695000,22015000,3000,-3338000,,7884000,43337000,,,,,,848000,219000,,,31000,-268000,,,-0.02,-0.02,14783964,15044630,-1950000,-55000,-928000,,4196000,39000,,130000,,,586000,,20945000,19782000,17361000,15313000,302000,2881000,5069000,,,,,,,,,,,,
2332,797542,2024,43282000,17805000,25477000,,19773000,4885000,43282000,14818000,3000,-10661000,,3806000,20862000,,,,,,796000,-76000,,,84000,-397000,,,-0.03,-0.03,14783964,14783964,12000,-2000,-2436000,,1774000,2000,237000,,,,734000,,11359000,12359000,12254000,12434000,245000,3064000,5000000,,,,,,,,,,,,
2335,1453687,2016,42824000,38913000,,21835000,7290000,,42824000,-69463000,0,-111508000,,,3040000,,,,18439000,,10486000,-15399000,552000,,,-12880000,,-16372000,,,,,,,,8535000,8057000,227000,0,,,,,,824000,2179000,,,2029000,,,,,,,,,,,,,,
2336,1453687,2017,89301000,86816000,,34344000,13706000,,89301000,-87755000,1000,-151576000,,,6011000,,,,31315000,,22980000,-25304000,948000,,,-25174000,,-32509000,,,,,-22463000,-4679000,43906000,15745000,16592000,1163000,0,,,,,,215000,3882000,,,2047000,,,,,,,,,,,,,,
2337,1453687,2018,101100000,98680000,,49286000,10973000,,101100000,-116493000,3000,-216897000,,,137000,,,,42753000,,29702000,-34670000,1253000,,,-36210000,,-40776000,,,,,-19757000,-22100000,67659000,,58656000,586000,2743000,,,,,,63000,1606000,,,2091000,,,,,,,,,,,,,,
2338,1453687,2019,44482000,42076000,,49900000,35144000,,44482000,54957000,3000,-280403000,,,,,,,63991000,,45165000,-63784000,1206000,,,-65321000,,-65321000,,,,,-52026000,-2098000,66023000,,70622000,733000,10000000,,,,,,0,1100000,,,2127000,,,,,,,,,,,,,,
2339,1453687,2020,99569000,96667000,,91172000,34943000,,99569000,51814000,9000,-335800000,,,,,,,65925000,,47687000,-65022000,1494000,,,-65336000,,-65336000,,,,,-59161000,25272000,697000,,37403000,884000,30942000,,,,,,5000000,500000,,,1222000,,,,,,,,,,,,,,
2340,1453687,2021,165435000,151343000,,183441000,81547000,,165435000,-5418000,11000,-404629000,,,,,,,59132000,,42743000,-52455000,1519000,,0,-55350000,4820000,-19620000,-1.22,-1.22,45548511,45548511,-51435000,229000,105041000,,89893000,47000,1141000,,,,,,7224000,443000,,,1395000,,,,,,,,,,,,,,
